index, frame_type, GPU Time, time.time()
0,2,-1000,1740586840.142558
1,1,-1000,1740586840.282517
2,0,24866,1740586840.306087
3,0,49734,1740586840.332061
4,0,74603,1740586840.356223
5,0,99474,1740586840.381249
6,0,124340,1740586840.409333
7,0,149208,1740586840.433533
8,0,174076,1740586840.459725
9,0,198946,1740586840.485618
10,0,223811,1740586840.510388
11,0,248681,1740586840.537512
12,0,273549,1740586840.562047
13,0,298417,1740586840.586848
14,0,323284,1740586840.613858
15,0,348155,1740586840.637549
16,0,373021,1740586840.661035
17,0,397890,1740586840.683396
18,0,422758,1740586840.709700
19,0,447625,1740586840.734026
20,0,472493,1740586840.759291
21,0,497363,1740586840.785110
22,0,522230,1740586840.809137
23,0,547097,1740586840.833621
24,0,571965,1740586840.858454
25,0,596833,1740586840.882795
26,0,621701,1740586840.912262
27,0,646571,1740586840.934152
28,0,671440,1740586840.957415
29,0,696306,1740586840.980598
30,0,721174,1740586841.007714
31,0,746044,1740586841.033695
32,0,770910,1740586841.057685
33,0,795778,1740586841.079994
34,0,820646,1740586841.107528
35,0,845514,1740586841.131156
36,0,870384,1740586841.157652
37,0,895251,1740586841.181837
38,0,920120,1740586841.207658
39,0,944987,1740586841.229801
40,0,969855,1740586841.258514
41,0,994725,1740586841.282452
42,0,1019591,1740586841.306125
43,0,1044460,1740586841.330114
44,0,1069327,1740586841.356131
45,0,1094196,1740586841.377954
46,0,1119064,1740586841.407155
47,0,1143932,1740586841.429755
48,0,1168800,1740586841.453965
49,0,1193668,1740586841.479010
50,0,1218536,1740586841.504881
51,0,1243406,1740586841.531151
52,0,1268273,1740586841.554078
53,0,1293141,1740586841.577080
54,0,1318010,1740586841.603995
55,0,1342877,1740586841.627262
56,0,1367745,1740586841.657668
57,0,1392614,1740586841.679148
58,0,1417481,1740586841.701889
59,0,1442362,1740586841.729811
60,0,1467217,1740586841.753629
61,2,-1000,1740586841.773527
62,1,1492087,1740586841.783854
63,0,1516954,1740586841.803753
64,0,1541822,1740586841.828820
65,0,1566693,1740586841.850780
66,0,1591558,1740586841.876349
67,0,1616426,1740586841.903194
68,0,1641294,1740586841.927478
69,0,1666163,1740586841.950226
70,0,1691031,1740586841.975429
71,0,1715899,1740586842.001363
72,0,1740767,1740586842.045758
73,0,1765635,1740586842.052833
74,0,1790503,1740586842.077226
75,0,1815374,1740586842.099224
76,0,1840239,1740586842.126207
77,0,1865108,1740586842.152520
78,0,1889976,1740586842.175523
79,0,1914844,1740586842.200810
80,0,1939712,1740586842.223475
81,0,1964580,1740586842.252268
82,0,1989449,1740586842.276753
83,0,2014317,1740586842.299804
84,0,2039184,1740586842.326290
85,0,2064056,1740586842.348093
86,0,2088920,1740586842.375745
87,0,2113789,1740586842.402198
88,0,2138661,1740586842.424487
89,0,2163525,1740586842.449269
90,0,2188393,1740586842.472958
91,0,2213262,1740586842.499014
92,0,2238129,1740586842.523652
93,0,2262998,1740586842.548183
94,0,2287866,1740586842.575126
95,0,2312736,1740586842.597817
96,0,2337602,1740586842.624386
97,0,2362469,1740586842.650045
98,0,2387340,1740586842.671645
99,0,2412206,1740586842.698398
100,0,2437074,1740586842.723223
101,0,2461942,1740586842.747931
102,0,2486810,1740586842.774910
103,0,2511678,1740586842.795979
104,0,2536547,1740586842.822551
105,0,2561415,1740586842.847514
106,0,2586283,1740586842.873024
107,0,2611152,1740586842.898447
108,0,2636021,1740586842.920542
109,0,2660887,1740586842.946661
110,0,2685755,1740586842.970379
111,0,2710623,1740586842.997612
112,0,2735492,1740586843.023257
